Age,Gender,City,Income Range,Employment Status,Order Frequency,Platforms Used,Meal Types,Preferred Cuisines,Spend per Order,Order Influence,Veg Preference,Combo Preference,Group Size,New Combo Likeliness (1-5),Satisfaction (1-5),Acceptable Delivery Time,Repeat Order,Recommended to Others,Tried TasteMate,Experience Rating,Loyalty Program Interest,Preferred Order Day,Communication Opt-in,Delivery Issues
45–54,Female,Mumbai,₹50k–75k,Working professional,2–3 times/week,"Swiggy, Others","Dinner, Snacks, Breakfast",Chinese,₹200–400,"Discounts, Packaging, Taste",Non-Veg,Depends,2 people,3,4,20–30 min,No,Yes,No,,Yes,Thu,Yes,Limited choice
35–44,Male,Bangalore,₹50k–75k,Retired,2–3 times/week,"Zomato, Others, Direct",Breakfast,Chinese,₹200–400,"Delivery time, Price, Discounts",Non-Veg,Depends,Solo,3,4,45+ min,Yes,No,No,,Yes,Sat,Yes,"Limited choice, High price, Cold food"
18–24,Female,Hyderabad,<₹15k,Working professional,2–3 times/week,Others,Lunch,"Fusion, Continental, Indian",₹400–600,Packaging,Non-Veg,Combo,2 people,2,3,20–30 min,Yes,Yes,No,,Yes,Tue,No,High price
45–54,Male,Mumbai,₹15k–30k,Student,Daily,"Direct, Swiggy","Breakfast, Snacks",Continental,₹100–200,Price,Non-Veg,Combo,Family (3–4),1,5,20–30 min,Yes,No,No,,Maybe,Fri,Yes,"Limited choice, Poor packaging"
25–34,Male,Pune,₹15k–30k,Homemaker,Once a week,Others,Dinner,"Chinese, Italian",₹200–400,Quantity,Non-Veg,Depends,Solo,4,5,20–30 min,Sometimes,Yes,Yes,2.0,Yes,Fri,Yes,"Cold food, Long wait time, Poor packaging"
35–44,Female,Chennai,₹15k–30k,Working professional,2–3 times/week,Zomato,Snacks,Indian,₹200–400,Delivery time,Veg,Depends,2 people,2,4,<20 min,Yes,Yes,No,,Yes,Tue,Yes,Long wait time
45–54,Female,Bangalore,₹15k–30k,Working professional,Rarely,Zomato,"Breakfast, Snacks",Continental,₹100–200,Packaging,Both,A la carte,2 people,4,3,20–30 min,Sometimes,No,No,,Yes,Mon,Yes,Poor packaging
25–34,Female,Kolkata,<₹15k,Working professional,Once a week,"Others, Swiggy",Breakfast,Indian,₹200–400,"Taste, Price, Quantity",Non-Veg,Depends,2 people,4,4,20–30 min,No,No,No,,Yes,Sat,Yes,Poor packaging
18–24,Female,Bangalore,₹30k–50k,Retired,2–3 times/week,Swiggy,Snacks,Continental,₹200–400,Taste,Non-Veg,Depends,Solo,3,2,30–45 min,Yes,No,Yes,5.0,Yes,Fri,Yes,Limited choice
18–24,Female,Kolkata,₹50k–75k,Homemaker,Rarely,"Swiggy, Direct, Others","Breakfast, Lunch, Dinner",Fusion,₹400–600,Quantity,Veg,Combo,Solo,5,4,30–45 min,Yes,Yes,No,,No,Thu,Yes,"Poor packaging, Long wait time"
25–34,Female,Hyderabad,₹30k–50k,Working professional,2–3 times/week,Zomato,Dinner,"Chinese, Fusion",₹100–200,Discounts,Veg,A la carte,Family (3–4),3,2,20–30 min,No,Yes,No,,Yes,Thu,No,"Poor packaging, Long wait time, Limited choice"
35–44,Male,Hyderabad,₹30k–50k,Working professional,2–3 times/week,Others,Lunch,Chinese,₹200–400,Taste,Veg,Depends,Family (3–4),2,4,<20 min,Sometimes,Yes,No,,Yes,Sun,Yes,High price
45–54,Male,Mumbai,<₹15k,Retired,Once a week,Swiggy,Lunch,"Italian, Fusion, Chinese",₹100–200,Discounts,Both,A la carte,Solo,5,4,30–45 min,Sometimes,Yes,No,,Yes,Thu,No,"Poor packaging, High price"
<18,Male,Pune,₹75k+,Working professional,2–3 times/week,Swiggy,Lunch,"Indian, Italian, Chinese",₹600+,"Price, Packaging, Taste",Veg,Combo,Solo,5,3,<20 min,Yes,Yes,No,,No,Tue,No,Limited choice
25–34,Male,Bangalore,₹50k–75k,Student,Rarely,Zomato,Breakfast,Fusion,₹100–200,Packaging,Both,Combo,Solo,2,4,30–45 min,No,Yes,No,,Yes,Fri,No,High price
25–34,Female,Mumbai,₹50k–75k,Working professional,2–3 times/week,Others,"Breakfast, Snacks, Dinner",Fusion,₹600+,"Quantity, Taste, Delivery time",Veg,Combo,Solo,1,5,30–45 min,Yes,No,No,,Yes,Fri,Yes,"Long wait time, Poor packaging, High price"
18–24,Female,Mumbai,₹50k–75k,Working professional,2–3 times/week,Direct,"Snacks, Dinner, Lunch",Indian,₹400–600,Packaging,Veg,Combo,2 people,1,2,20–30 min,Sometimes,No,No,,Maybe,Mon,No,Long wait time
18–24,Male,Bangalore,₹75k+,Working professional,Once a week,Swiggy,Dinner,Continental,₹100–200,"Quantity, Packaging",Veg,Depends,Solo,2,4,30–45 min,Sometimes,Yes,No,,Yes,Thu,No,Poor packaging
25–34,Male,Bangalore,₹30k–50k,Working professional,Once a week,Direct,Snacks,Fusion,₹400–600,Discounts,Veg,Combo,Solo,5,3,45+ min,No,Yes,Yes,1.0,No,Thu,No,Long wait time
45–54,Female,Hyderabad,₹15k–30k,Working professional,Never,"Swiggy, Others","Breakfast, Snacks, Lunch",Italian,₹600+,"Taste, Price",Both,Combo,Family (3–4),3,1,30–45 min,Yes,Yes,No,,Maybe,Fri,Yes,"Long wait time, Cold food, Limited choice"
25–34,Male,Pune,₹30k–50k,Student,2–3 times/week,"Direct, Others, Zomato",Breakfast,Chinese,₹100–200,Discounts,Both,Combo,Solo,3,3,20–30 min,No,No,No,,Yes,Thu,Yes,High price
25–34,Female,Mumbai,₹50k–75k,Homemaker,2–3 times/week,"Swiggy, Zomato",Lunch,Continental,₹200–400,"Quantity, Discounts, Delivery time",Both,A la carte,Family (3–4),5,4,20–30 min,Yes,Yes,No,,Maybe,Sat,No,Cold food
35–44,Female,Hyderabad,₹50k–75k,Working professional,Once a week,Zomato,"Lunch, Snacks, Dinner",Chinese,₹200–400,Quantity,Veg,A la carte,2 people,3,3,45+ min,Yes,No,No,,Maybe,Sun,Yes,Cold food
25–34,Female,Mumbai,₹30k–50k,Working professional,Daily,"Direct, Others, Zomato",Lunch,"Fusion, Continental",₹100–200,"Discounts, Packaging",Veg,Combo,Solo,3,5,20–30 min,Yes,Yes,No,,Yes,Sun,Yes,Poor packaging
55+,Female,Pune,<₹15k,Working professional,Rarely,Zomato,Snacks,Fusion,<₹100,Taste,Non-Veg,Combo,2 people,5,4,30–45 min,Sometimes,Yes,Yes,3.0,Maybe,Sat,Yes,"High price, Poor packaging"
55+,Female,Chennai,₹30k–50k,Working professional,2–3 times/week,Direct,Snacks,Chinese,₹100–200,Taste,Both,Combo,2 people,4,1,<20 min,No,No,No,,Yes,Fri,No,Limited choice
18–24,Male,Bangalore,₹75k+,Student,Once a week,Swiggy,"Snacks, Breakfast, Dinner",Fusion,₹100–200,Delivery time,Veg,A la carte,Solo,4,4,<20 min,Yes,No,No,,Yes,Sat,Yes,Cold food
25–34,Female,Hyderabad,₹30k–50k,Student,2–3 times/week,Zomato,Dinner,"Chinese, Italian, Indian",₹200–400,"Delivery time, Quantity, Price",Both,Combo,Solo,3,2,30–45 min,Sometimes,Yes,Yes,2.0,Maybe,Sat,No,Long wait time
25–34,Female,Delhi,₹30k–50k,Homemaker,Daily,Direct,Dinner,Continental,₹100–200,Taste,Non-Veg,Depends,2 people,4,4,30–45 min,Yes,Yes,Yes,4.0,Maybe,Sat,Yes,"Poor packaging, Limited choice, Cold food"
18–24,Male,Bangalore,₹15k–30k,Retired,2–3 times/week,"Zomato, Others",Dinner,Indian,₹400–600,Delivery time,Veg,A la carte,Family (3–4),2,3,30–45 min,Yes,No,Yes,2.0,No,Tue,Yes,Poor packaging
<18,Female,Chennai,₹30k–50k,Working professional,Rarely,Direct,"Breakfast, Dinner, Lunch","Italian, Fusion",₹200–400,Price,Non-Veg,Combo,2 people,3,3,45+ min,Yes,Yes,No,,Yes,Mon,Yes,"Long wait time, Poor packaging, Limited choice"
25–34,Female,Bangalore,₹50k–75k,Student,2–3 times/week,Zomato,"Snacks, Breakfast",Continental,<₹100,Delivery time,Veg,Depends,Solo,5,4,<20 min,No,No,Yes,3.0,No,Sun,Yes,Cold food
25–34,Female,Delhi,₹30k–50k,Working professional,Rarely,Direct,"Dinner, Breakfast","Continental, Chinese, Italian",₹200–400,Taste,Both,Combo,2 people,2,5,20–30 min,No,No,No,,No,Sun,Yes,High price
18–24,Female,Bangalore,₹50k–75k,Homemaker,2–3 times/week,Zomato,"Dinner, Breakfast",Chinese,₹200–400,Packaging,Veg,A la carte,Solo,4,3,45+ min,No,No,No,,Yes,Fri,Yes,"Cold food, Limited choice"
18–24,Female,Chennai,₹30k–50k,Homemaker,Once a week,Swiggy,Dinner,Chinese,₹600+,"Discounts, Packaging, Delivery time",Both,Combo,2 people,3,5,20–30 min,Sometimes,Yes,No,,Maybe,Sun,Yes,High price
45–54,Female,Delhi,₹30k–50k,Student,2–3 times/week,Swiggy,Dinner,Fusion,<₹100,Taste,Veg,A la carte,2 people,1,3,30–45 min,Yes,Yes,No,,Yes,Sat,Yes,Cold food
18–24,Female,Mumbai,₹15k–30k,Student,Once a week,Swiggy,Breakfast,Fusion,₹100–200,"Taste, Discounts",Both,Depends,2 people,4,5,20–30 min,Sometimes,No,No,,Yes,Fri,No,"High price, Long wait time, Limited choice"
18–24,Female,Hyderabad,₹50k–75k,Homemaker,Rarely,"Others, Direct, Swiggy",Lunch,Indian,₹400–600,Delivery time,Veg,Depends,Family (3–4),2,4,<20 min,Yes,Yes,No,,Yes,Thu,Yes,High price
25–34,Female,Chennai,₹30k–50k,Working professional,Daily,"Others, Direct","Dinner, Snacks","Fusion, Italian, Indian",₹400–600,Delivery time,Both,Combo,2 people,4,3,20–30 min,Sometimes,Yes,No,,Yes,Fri,Yes,Limited choice
55+,Female,Mumbai,₹30k–50k,Working professional,Daily,"Zomato, Direct, Swiggy","Lunch, Dinner","Italian, Chinese, Continental",₹200–400,Packaging,Both,Combo,2 people,1,3,20–30 min,No,No,No,,No,Fri,Yes,High price
18–24,Female,Delhi,₹30k–50k,Student,2–3 times/week,Others,Dinner,Indian,₹200–400,Price,Both,A la carte,Solo,5,2,30–45 min,No,Yes,No,,Yes,Sun,Yes,Cold food
35–44,Male,Mumbai,₹75k+,Working professional,Once a week,Swiggy,Lunch,Continental,<₹100,Discounts,Non-Veg,Depends,Family (3–4),2,3,30–45 min,No,No,No,,Maybe,Fri,No,Poor packaging
35–44,Female,Delhi,<₹15k,Retired,Daily,"Others, Zomato",Breakfast,Italian,₹200–400,Price,Both,Depends,Family (3–4),2,3,30–45 min,No,No,Yes,2.0,Yes,Sat,Yes,"Poor packaging, High price"
18–24,Female,Bangalore,₹50k–75k,Other,2–3 times/week,Zomato,Snacks,Fusion,₹100–200,Packaging,Non-Veg,Combo,Solo,2,4,20–30 min,Yes,No,No,,Yes,Sat,Yes,Limited choice
35–44,Male,Hyderabad,₹15k–30k,Working professional,Once a week,Zomato,Lunch,Continental,₹100–200,Discounts,Veg,Combo,Solo,5,5,20–30 min,Sometimes,No,No,,Maybe,Mon,Yes,Poor packaging
25–34,Female,Hyderabad,₹30k–50k,Working professional,2–3 times/week,Direct,Lunch,Continental,₹400–600,Packaging,Non-Veg,A la carte,Solo,4,1,<20 min,Yes,Yes,No,,Yes,Mon,No,High price
25–34,Male,Hyderabad,<₹15k,Student,Once a week,"Direct, Others","Lunch, Breakfast, Snacks","Indian, Chinese, Italian",₹100–200,Price,Veg,Combo,Family (3–4),4,4,20–30 min,Yes,Yes,No,,No,Sat,Yes,High price
25–34,Male,Delhi,₹15k–30k,Working professional,2–3 times/week,Others,Breakfast,Fusion,₹200–400,Price,Both,Combo,2 people,3,4,<20 min,No,No,No,,Maybe,Wed,Yes,"Limited choice, High price"
25–34,Female,Chennai,₹30k–50k,Working professional,2–3 times/week,Zomato,Breakfast,Fusion,₹400–600,Packaging,Veg,Combo,Solo,3,5,20–30 min,Sometimes,Yes,Yes,5.0,No,Sat,No,"Limited choice, Poor packaging"
18–24,Male,Bangalore,<₹15k,Working professional,Once a week,"Others, Swiggy, Direct",Snacks,Continental,₹100–200,Taste,Non-Veg,A la carte,Family (3–4),2,4,20–30 min,Yes,No,No,,No,Tue,Yes,Long wait time
35–44,Female,Kolkata,₹30k–50k,Working professional,Never,Zomato,Lunch,Indian,₹600+,Packaging,Both,Depends,Solo,3,4,20–30 min,Sometimes,No,No,,Maybe,Thu,Yes,Long wait time
25–34,Female,Hyderabad,₹75k+,Working professional,Once a week,Swiggy,"Dinner, Snacks","Italian, Continental, Indian",₹600+,Price,Non-Veg,Depends,Family (3–4),2,4,<20 min,Sometimes,Yes,No,,Maybe,Tue,Yes,Cold food
18–24,Female,Mumbai,₹15k–30k,Student,Once a week,Zomato,Breakfast,Chinese,₹200–400,"Packaging, Taste, Delivery time",Both,Combo,Solo,5,3,20–30 min,No,No,No,,Yes,Wed,Yes,Cold food
<18,Male,Hyderabad,₹50k–75k,Working professional,Once a week,Zomato,Breakfast,"Italian, Fusion, Continental",₹100–200,"Price, Quantity, Delivery time",Veg,A la carte,Solo,4,2,20–30 min,No,Yes,No,,No,Mon,No,"Limited choice, Poor packaging, Long wait time"
25–34,Male,Delhi,₹30k–50k,Student,Daily,Swiggy,Snacks,Fusion,₹100–200,Delivery time,Non-Veg,Depends,Solo,3,3,<20 min,Sometimes,Yes,No,,Yes,Sun,No,Poor packaging
35–44,Female,Hyderabad,₹30k–50k,Student,2–3 times/week,Zomato,Breakfast,Fusion,₹200–400,Price,Veg,Combo,Solo,2,2,45+ min,Yes,No,No,,Yes,Thu,Yes,Limited choice
<18,Prefer not to say,Mumbai,₹15k–30k,Other,2–3 times/week,"Zomato, Others, Direct",Breakfast,"Chinese, Italian, Indian",₹100–200,Packaging,Both,A la carte,2 people,4,4,<20 min,No,No,No,,Yes,Sun,No,Cold food
25–34,Female,Mumbai,₹15k–30k,Working professional,Once a week,Others,Snacks,"Indian, Continental",₹100–200,Discounts,Both,A la carte,2 people,2,3,30–45 min,Sometimes,Yes,No,,Maybe,Sun,Yes,Long wait time
18–24,Male,Pune,₹15k–30k,Working professional,Once a week,Swiggy,"Snacks, Breakfast, Lunch",Indian,₹600+,Quantity,Both,Combo,Solo,2,4,<20 min,Sometimes,Yes,Yes,5.0,No,Sun,No,High price
25–34,Female,Delhi,<₹15k,Retired,2–3 times/week,Swiggy,"Breakfast, Snacks, Lunch","Italian, Fusion, Indian",₹100–200,Discounts,Veg,A la carte,Solo,2,2,30–45 min,Sometimes,Yes,No,,Yes,Fri,Yes,"Poor packaging, Long wait time, Cold food"
18–24,Female,Chennai,₹15k–30k,Other,Rarely,Swiggy,Snacks,Italian,₹200–400,Discounts,Veg,Combo,Solo,3,5,<20 min,Yes,Yes,No,,Yes,Sat,Yes,"Cold food, High price"
35–44,Female,Delhi,₹30k–50k,Working professional,Rarely,Zomato,"Lunch, Snacks",Continental,<₹100,"Packaging, Price, Quantity",Veg,A la carte,2 people,4,5,30–45 min,Yes,Yes,Yes,2.0,Maybe,Tue,Yes,High price
25–34,Male,Hyderabad,₹50k–75k,Homemaker,Once a week,"Swiggy, Others",Snacks,Fusion,₹200–400,Discounts,Veg,Combo,2 people,3,3,20–30 min,Yes,Yes,Yes,5.0,Yes,Mon,Yes,Poor packaging
45–54,Female,Hyderabad,₹50k–75k,Working professional,2–3 times/week,Others,"Lunch, Snacks, Dinner","Fusion, Chinese, Continental",₹400–600,"Delivery time, Quantity",Veg,Combo,Solo,1,3,30–45 min,Yes,No,No,,Yes,Sun,No,High price
18–24,Female,Bangalore,₹30k–50k,Working professional,Rarely,Swiggy,Breakfast,Fusion,₹100–200,Delivery time,Both,Combo,2 people,3,4,20–30 min,Yes,No,No,,Maybe,Mon,Yes,"Long wait time, Poor packaging"
25–34,Non-binary,Delhi,₹15k–30k,Working professional,2–3 times/week,"Swiggy, Zomato, Others",Snacks,Fusion,₹100–200,Taste,Veg,Depends,Solo,4,2,<20 min,Yes,Yes,No,,No,Sun,Yes,"Limited choice, Poor packaging"
18–24,Male,Delhi,₹15k–30k,Working professional,Rarely,Others,"Lunch, Breakfast",Italian,₹200–400,Price,Non-Veg,A la carte,Family (3–4),2,3,30–45 min,No,Yes,No,,Yes,Sat,Yes,Poor packaging
45–54,Female,Mumbai,₹15k–30k,Working professional,Once a week,Swiggy,Breakfast,Continental,₹200–400,Quantity,Both,A la carte,Family (3–4),2,3,<20 min,Sometimes,No,No,,Yes,Thu,Yes,Cold food
45–54,Female,Delhi,₹15k–30k,Working professional,Rarely,"Others, Zomato",Snacks,"Continental, Italian",₹200–400,Price,Both,A la carte,2 people,5,5,45+ min,Sometimes,No,Yes,4.0,Maybe,Tue,Yes,Poor packaging
18–24,Male,Hyderabad,₹30k–50k,Student,Daily,Swiggy,Breakfast,Continental,₹100–200,Discounts,Non-Veg,A la carte,Family (3–4),5,5,<20 min,Sometimes,No,Yes,1.0,Maybe,Sat,Yes,"Poor packaging, Cold food"
35–44,Female,Pune,₹30k–50k,Working professional,Rarely,"Swiggy, Others, Zomato",Breakfast,Indian,₹100–200,Quantity,Non-Veg,Combo,Family (3–4),5,4,20–30 min,Yes,Yes,Yes,2.0,Yes,Fri,Yes,Long wait time
35–44,Female,Pune,₹30k–50k,Student,Daily,"Others, Swiggy","Snacks, Lunch, Breakfast",Continental,₹600+,"Price, Packaging",Non-Veg,Depends,Family (3–4),4,4,30–45 min,Yes,Yes,Yes,4.0,Yes,Sat,Yes,Cold food
25–34,Male,Chennai,₹30k–50k,Working professional,2–3 times/week,Zomato,Breakfast,Chinese,₹400–600,Price,Veg,Combo,2 people,2,5,20–30 min,Sometimes,Yes,Yes,4.0,Yes,Thu,No,Poor packaging
25–34,Male,Chennai,₹50k–75k,Working professional,Rarely,Direct,Lunch,"Continental, Italian, Fusion",₹200–400,Delivery time,Both,Combo,Solo,2,5,20–30 min,No,No,No,,No,Mon,No,Cold food
18–24,Female,Hyderabad,₹50k–75k,Homemaker,Once a week,"Zomato, Others, Direct","Snacks, Lunch",Italian,₹400–600,Discounts,Non-Veg,Depends,Solo,3,5,30–45 min,No,Yes,No,,Maybe,Thu,Yes,Long wait time
18–24,Male,Delhi,₹15k–30k,Homemaker,2–3 times/week,"Zomato, Direct, Swiggy",Dinner,Fusion,₹200–400,"Discounts, Delivery time, Price",Both,Combo,Solo,3,2,30–45 min,Yes,Yes,No,,Yes,Thu,Yes,"Limited choice, High price"
45–54,Female,Pune,₹75k+,Retired,Daily,Others,Snacks,Indian,₹200–400,Taste,Both,Combo,2 people,5,3,45+ min,Yes,Yes,No,,Maybe,Mon,Yes,High price
45–54,Male,Hyderabad,₹75k+,Working professional,Daily,"Others, Zomato",Breakfast,"Italian, Continental, Chinese",₹100–200,Taste,Both,A la carte,Solo,4,4,20–30 min,No,Yes,No,,No,Mon,Yes,High price
25–34,Female,Bangalore,₹15k–30k,Homemaker,Rarely,"Direct, Zomato","Dinner, Snacks",Chinese,₹200–400,Discounts,Non-Veg,A la carte,Solo,4,4,20–30 min,Sometimes,No,No,,Maybe,Thu,No,Long wait time
25–34,Male,Mumbai,₹30k–50k,Working professional,Once a week,"Swiggy, Direct, Zomato",Snacks,Continental,₹200–400,Delivery time,Veg,Depends,Solo,2,1,20–30 min,Sometimes,Yes,No,,Maybe,Sat,Yes,Limited choice
25–34,Female,Bangalore,₹30k–50k,Student,Daily,Direct,Snacks,Continental,<₹100,Discounts,Both,A la carte,Solo,5,2,20–30 min,No,No,No,,Yes,Fri,Yes,Cold food
35–44,Non-binary,Bangalore,₹75k+,Student,Daily,Zomato,"Breakfast, Lunch","Chinese, Fusion",₹200–400,"Discounts, Quantity, Price",Non-Veg,A la carte,2 people,4,5,30–45 min,No,Yes,Yes,4.0,Yes,Wed,Yes,Poor packaging
45–54,Non-binary,Pune,₹50k–75k,Working professional,Once a week,"Direct, Others, Swiggy",Breakfast,Italian,₹200–400,Quantity,Veg,Depends,Family (3–4),2,5,20–30 min,Sometimes,Yes,No,,No,Fri,No,"High price, Long wait time"
45–54,Female,Bangalore,₹15k–30k,Working professional,2–3 times/week,Zomato,Lunch,Continental,₹200–400,"Delivery time, Discounts",Veg,Combo,2 people,5,3,20–30 min,No,Yes,No,,Maybe,Fri,No,Cold food
35–44,Male,Delhi,₹30k–50k,Working professional,Once a week,Zomato,Snacks,Continental,2000,Packaging,Veg,Combo,2 people,2,5,20–30 min,No,Yes,No,,Yes,Fri,No,High price
25–34,Female,Kolkata,₹30k–50k,Homemaker,2–3 times/week,Swiggy,Snacks,Fusion,₹400–600,Discounts,Both,A la carte,2 people,1,4,30–45 min,Sometimes,Yes,No,,Maybe,Fri,Yes,High price
18–24,Male,Mumbai,₹30k–50k,Student,Never,Direct,Lunch,"Chinese, Italian, Continental",<₹100,"Packaging, Delivery time",Veg,Combo,Solo,4,5,45+ min,Sometimes,No,No,,Yes,Thu,Yes,Limited choice
18–24,Male,Bangalore,₹15k–30k,Student,2–3 times/week,Direct,"Breakfast, Snacks",Indian,₹200–400,Delivery time,Non-Veg,Depends,Solo,4,3,30–45 min,Sometimes,No,No,,Yes,Tue,No,Limited choice
45–54,Male,Mumbai,₹50k–75k,Other,Daily,Zomato,Dinner,Continental,₹200–400,Packaging,Non-Veg,Depends,Family (3–4),1,2,20–30 min,Yes,Yes,Yes,3.0,Yes,Thu,Yes,Poor packaging
25–34,Female,Hyderabad,₹30k–50k,Student,Never,Direct,Dinner,"Italian, Continental, Fusion",₹200–400,Discounts,Non-Veg,Combo,Solo,3,3,30–45 min,No,Yes,No,,Maybe,Thu,Yes,High price
<18,Female,Pune,₹50k–75k,Working professional,2–3 times/week,Others,Dinner,Fusion,₹100–200,Quantity,Both,Combo,Solo,5,4,30–45 min,Sometimes,No,Yes,2.0,No,Fri,Yes,Limited choice
18–24,Female,Delhi,₹50k–75k,Working professional,Rarely,"Swiggy, Others, Direct","Dinner, Snacks",Italian,₹100–200,Quantity,Both,Combo,Family (3–4),4,4,<20 min,Yes,Yes,No,,Yes,Sun,Yes,Limited choice
35–44,Male,Pune,₹50k–75k,Working professional,2–3 times/week,Swiggy,Snacks,Fusion,₹400–600,Discounts,Non-Veg,Combo,Solo,4,2,<20 min,Sometimes,Yes,Yes,2.0,Maybe,Thu,Yes,High price
<18,Male,Delhi,₹30k–50k,Student,Rarely,"Zomato, Others, Swiggy","Breakfast, Dinner",Chinese,₹200–400,Price,Veg,Combo,Solo,2,5,<20 min,Yes,Yes,No,,Maybe,Sat,No,"High price, Poor packaging, Long wait time"
18–24,Prefer not to say,Pune,₹30k–50k,Student,Once a week,Swiggy,"Lunch, Dinner",Indian,₹400–600,"Delivery time, Price",Non-Veg,A la carte,Solo,1,3,20–30 min,Sometimes,No,Yes,2.0,Maybe,Sat,Yes,"Poor packaging, Limited choice, Long wait time"
25–34,Male,Chennai,₹15k–30k,Student,Rarely,Direct,Lunch,"Fusion, Indian, Italian",₹200–400,"Taste, Packaging",Both,Depends,Solo,2,3,30–45 min,No,Yes,No,,Yes,Wed,No,Poor packaging
35–44,Male,Chennai,₹30k–50k,Working professional,Once a week,Zomato,Dinner,Indian,₹200–400,Quantity,Non-Veg,Depends,Solo,2,4,20–30 min,Yes,Yes,Yes,1.0,Yes,Sun,No,Limited choice
35–44,Male,Mumbai,₹15k–30k,Working professional,2–3 times/week,Swiggy,Breakfast,"Chinese, Italian",₹400–600,Price,Both,Combo,Solo,2,4,20–30 min,No,Yes,Yes,4.0,No,Mon,No,"Cold food, High price, Poor packaging"
18–24,Female,Kolkata,₹30k–50k,Working professional,Daily,Direct,Dinner,Italian,₹200–400,"Price, Quantity",Veg,Combo,2 people,2,3,45+ min,No,Yes,No,,Maybe,Sun,Yes,"Poor packaging, Long wait time, Limited choice"
35–44,Female,Hyderabad,₹15k–30k,Working professional,2–3 times/week,Others,Dinner,Continental,₹100–200,Discounts,Both,A la carte,Family (3–4),3,4,30–45 min,No,Yes,Yes,2.0,No,Tue,Yes,Limited choice
18–24,Male,Delhi,₹15k–30k,Homemaker,2–3 times/week,Others,"Snacks, Breakfast",Fusion,₹200–400,Taste,Veg,Depends,Solo,3,4,30–45 min,Yes,No,Yes,5.0,No,Thu,No,High price
25–34,Male,Chennai,₹15k–30k,Student,2–3 times/week,Swiggy,"Lunch, Breakfast, Snacks","Chinese, Italian, Continental",₹400–600,Discounts,Both,Depends,Family (3–4),4,4,20–30 min,Sometimes,No,Yes,3.0,Maybe,Fri,Yes,High price
